age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,gender,capital_gain,capital_loss,hours_per_week,native_country,income_bracket
52,?,355083.0,HS-grad,9,Married-civ-spouse,?,Wife,White,Female,0,0,20,United-States,>50K
74,?,207064.0,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0,0,50,United-States,<=50K
55,Private,329789.0,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,?,<=50K
55,Private,270985.0,11th,7,Divorced,Adm-clerical,Unmarried,White,Female,0,0,45,United-States,<=50K
48,Private,201127.0,9th,5,Divorced,Other-service,Own-child,White,Male,0,0,40,United-States,<=50K
80,?,185203.0,HS-grad,9,Married-civ-spouse,?,Wife,Black,Female,0,0,40,United-States,<=50K
35,Private,149981.0,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K
57,State-gov,231620.0,Some-college,10,Divorced,Sales,Unmarried,White,Female,0,0,50,Mexico,<=50K
43,?,282721.0,10th,6,Divorced,?,Unmarried,White,Male,0,0,62,United-States,<=50K
50,?,85733.0,HS-grad,9,Divorced,?,Unmarried,White,Male,0,0,8,United-States,<=50K
81,Private,183523.0,11th,7,Widowed,Sales,Unmarried,White,Female,0,0,40,United-States,<=50K
49,?,174603.0,Bachelors,13,Widowed,?,Unmarried,White,Female,0,0,4,United-States,<=50K
18,?,60331.0,Some-college,10,Never-married,?,Other-relative,White,Male,0,0,18,United-States,<=50K
21,?,350603.0,10th,6,Never-married,?,Own-child,White,Female,0,0,8,United-States,<=50K
43,Private,126754.0,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,55,United-States,>50K
42,Private,160337.0,11th,7,Separated,Prof-specialty,Unmarried,Black,Female,0,0,16,United-States,<=50K
33,Private,392886.0,Bachelors,13,Married-civ-spouse,Sales,Husband,Black,Male,0,0,45,United-States,<=50K
41,Private,115784.0,Bachelors,13,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,<=50K
34,Private,343579.0,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,15,Mexico,>50K
24,?,278130.0,HS-grad,9,Never-married,Adm-clerical,Other-relative,White,Female,0,0,40,United-States,>50K
47,Private,188786.0,HS-grad,9,Widowed,Protective-serv,Unmarried,White,Female,0,0,40,United-States,<=50K
39,Private,241885.0,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,>50K
41,Private,52781.0,Some-college,10,Divorced,Sales,Own-child,White,Male,0,0,50,United-States,<=50K
20,?,171199.0,Some-college,10,Never-married,?,Own-child,Other,Female,0,0,40,United-States,<=50K
21,Private,122195.0,11th,7,Never-married,Other-service,Own-child,White,Male,0,0,40,United-States,<=50K
26,Private,377374.0,Bachelors,13,Never-married,Tech-support,Unmarried,White,Female,0,0,40,Japan,<=50K
58,Private,98211.0,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,50,United-States,>50K
34,Local-gov,190650.0,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,7298,0,45,United-States,>50K
32,?,103353.0,HS-grad,9,Never-married,?,Not-in-family,White,Male,0,0,32,United-States,<=50K
41,Private,407913.0,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,>50K
46,Private,377680.0,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,45,United-States,<=50K
