intent,text
lyric,He said the way my blue eyes shined
lyric,Put those Georgia stars to shame that night
lyric,"I said, ""That's a lie"""
lyric,Just a boy in a Chevy truck
lyric,That had a tendency of gettin' stuck
lyric,On back roads at night
lyric,And I was right there beside him all summer long
lyric,And then the time we woke up to find that summer gone
lyric,But when you think Tim McGraw
lyric,I hope you think my favorite song
lyric,The one we danced to all night long
lyric,The moon like a spotlight on the lake
lyric,When you think happiness
lyric,I hope you think that little black dress
lyric,Think of my head on your chest
lyric,And my old faded blue jeans
lyric,When you think Tim McGraw
lyric,I hope you think of me
lyric,September saw a month of tears
lyric,And thankin' God that you weren't here
lyric,To see me like that
lyric,But in a box beneath my bed
lyric,Is a letter that you never read
lyric,From three summers back
lyric,It's hard not to find it all a little bittersweet
lyric,"And lookin' back on all of that, it's nice to believe"
lyric,When you think Tim McGraw
lyric,I hope you think my favorite song
lyric,The one we danced to all night long
lyric,The moon like a spotlight on the lake
lyric,When you think happiness
lyric,I hope you think that little black dress
lyric,Think of my head on your chest
lyric,And my old faded blue jeans
lyric,When you think Tim McGraw
lyric,I hope you think of me
lyric,And I'm back for the first time since then
lyric,I'm standin' on your street
lyric,And there's a letter left on your doorstep
lyric,And the first thing that you'll read is:
lyric,"When you think Tim McGraw
I hope you think my favorite song
Someday you'll turn your radio on
I hope it takes you back to that place"
lyric,When you think happiness
lyric,I hope you think that little black dress
lyric,Think of my head on your chest
lyric,And my old faded blue jeans
lyric,When you think Tim McGraw
lyric,I hope you think of me
lyric,"Oh, think of me"
lyric,Mmmm
lyric,He said the way my blue eyes shined
lyric,Put those Georgia stars to shame that night
lyric,"I said, ""That's a lie"""
lyric,"State the obvious, I didn't get my perfect fantasy"
lyric,I realize you love yourself more than you could ever love me
lyric,So go and tell your friends that I'm obsessive and crazy
lyric,That's fine I'll tell mine that you're gay!
lyric,By the way...
lyric,I hate that stupid old pickup truck
lyric,You never let me drive
lyric,You're a redneck heartbreak
lyric,Who's really bad at lying
lyric,So watch me strike a match
lyric,On all my wasted time
lyric,As far as I'm concerned
lyric,You're just another picture to burn!
lyric,There's no time for tears
lyric,I'm just sitting here planning my revenge
lyric,There's nothing stopping me
lyric,From going out with all of your best friends
lyric,And if you come around saying sorry to me
lyric,My daddy's gonna show you how sorry you'll be
lyric,Cause I hate that stupid old pickup truck
lyric,You never let me drive
lyric,You're a redneck heartbreak
lyric,Who's really bad at lying
lyric,So watch me strike a match
lyric,On all my wasted time
lyric,As far as I'm concerned
lyric,You're just another picture to burn!
lyric,And if you're missing me
lyric,You'd better keep it to yourself
lyric,Cause coming back around here
lyric,Would be bad for your health...
lyric,Cause I hate that stupid old pickup truck
lyric,You never let me drive
lyric,You're a redneck heartbreak
lyric,Who's really bad at lying
lyric,So watch me strike a match
lyric,On all my wasted time
lyric,In case you haven't heard
lyric,I really really hate that...
lyric,Stupid old pickup truck
lyric,You never let me drive
lyric,You're a redneck heartbreak
lyric,Who's really bad at lying
lyric,So watch me strike a match
lyric,On all my wasted time
lyric,As far as I'm concerned
lyric,You're just another picture to burn!
lyric,"Burn, burn, burn, baby, burn"
lyric,You're just another picture to burn
lyric,"Baby, burn..."
lyric,Drew looks at me
lyric,I fake a smile so he won't see
lyric,That I want and I'm needing
lyric,Everything that we should be
lyric,"I'll bet she's beautiful, that girl he talks about"
lyric,And she's got everything that I have to live without
lyric,Drew talks to me
lyric,I laugh 'cause it's just so funny
lyric,That I can't even see
lyric,Anyone when he's with me
lyric,"He says he's so in love, he's finally got it right"
lyric,I wonder if he knows he's all I think about at night
lyric,He's the reason for the teardrops on my guitar
lyric,The only thing that keeps me wishing on a wishing star
lyric,He's the song in the car I keep singing. Don't know why I do
lyric,Drew walks by me
lyric,Can he tell that I can't breathe?
lyric,"And there he goes, so perfectly"
lyric,The kind of flawless I wish I could be
lyric,"She'd better hold him tight, give him all her love"
lyric,Look in those beautiful eyes and know she's lucky 'cause
lyric,He's the reason for the teardrops on my guitar
lyric,The only thing that keeps me wishing on a wishing star
lyric,He's the song in the car I keep singing. Don't know why I do
lyric,"So, I drive home alone"
lyric,As I turn out the light
lyric,I'll put his picture down
lyric,And maybe get some sleep tonight
lyric,Cause he's the reason for the teardrops on my guitar
lyric,The only one who's got enough of me to break my heart
lyric,He's the song in the car I keep singing. Don't know why I do
lyric,"He's the time taken up, but there's never enough"
lyric,And he's all that I need to fall into
lyric,Drew looks at me
lyric,I fake a smile so he won't see
lyric,"I don't know what I want, so don't ask me"
lyric,Cause I'm still trying to figure it out
lyric,"Don't know what's down this road, I'm just walking"
lyric,Trying to see through the rain coming down
lyric,Even though I'm not the only one
lyric,Who feels the way I do
lyric,"I'm alone, on my own, and that's all I know"
lyric,"I'll be strong, I'll be wrong, oh but life goes on"
lyric,"Oh, I'm just a girl, trying to find a place in this world"
lyric,"Got the radio on, my old blue jeans"
lyric,And I'm wearing my heart on my sleeve
lyric,"Feeling lucky today, got the sunshine"
lyric,Could you tell me what more do I need
lyric,"And tomorrow's just a mystery, oh yeah"
lyric,But that's OK
lyric,"I'm alone, on my own, and that's all I know"
lyric,"I'll be strong, I'll be wrong, oh but life goes on"
lyric,"Oh, I'm just a girl, trying to find a place in this world"
lyric,Maybe I'm just a girl on a mission
lyric,But I'm ready to fly
lyric,"I'm alone, on my own, and that's all I know"
lyric,"I'll be strong, I'll be wrong, oh but life goes on"
lyric,"Oh I'm alone, on my own, and that's all I know"
lyric,"Oh I'm just a girl, trying to find a place in this world"
lyric,Oh I'm just a girl
lyric,"Oh I'm just a girl, oh, oh"
lyric,Oh I'm just a girl
lyric,You have a way of coming easily to me
lyric,"And when you take, you take the very best of me"
lyric,So I start a fight 'cause I need to feel something
lyric,And you do what you want 'cause I'm not what you wanted
lyric,"Oh, what a shame, what a rainy ending given to a perfect day"
lyric,"Just walk away, ain't no use defending words that you will never say"
lyric,And now that I'm sitting here thinking it through
lyric,I've never been anywhere cold as you
lyric,You put up walls and paint them all a shade of gray
lyric,And I stood there loving you and wished them all away
lyric,And you come away with a great little story
lyric,Of a mess of a dreamer with the nerve to adore you
lyric,"Oh, what a shame, what a rainy ending given to a perfect day"
lyric,"So just walk away, ain't no use defending words that you will never say"
lyric,And now that I'm sitting here thinking it through
lyric,I've never been anywhere cold as you
lyric,"You never did give a damn thing, honey, but I cried, cried for you"
lyric,"And I know you wouldn't have told nobody if I died, died for you, died for you"
lyric,"Oh, what a shame, what a rainy ending given to a perfect day"
lyric,Every smile you fake is so condescending counting all the scars you made
lyric,And now that I'm sitting here thinking it through
lyric,I've never been anywhere cold as you
lyric,I didn't know what I would find
lyric,When I went looking for a reason
lyric,I know I didn't read between the lines
lyric,"And, baby, I've got nowhere to go"
lyric,I tried to take the road less traveled by
lyric,But nothing seems to work the first few times
lyric,Am I right?
lyric,So how can I ever try to be better?
lyric,Nobody ever lets me in
lyric,I can still see you
lyric,This ain't the best view
lyric,On the outside looking in
lyric,And I've been a lot of lonely places
lyric,I've never been on the outside
lyric,"You saw me there, but never knew"
lyric,That I would give it all up to be
lyric,"A part of this, a part of you"
lyric,And now it's all too late. So you see
lyric,You could've helped if you had wanted to
lyric,But no one notices until it's too late to do anything
lyric,So how can I ever try to be better?
lyric,Nobody ever lets me in
lyric,I can still see you
lyric,This ain't the best view
lyric,On the outside looking in
lyric,And I've been a lot of lonely places
lyric,I've never been on the outside
lyric,"Oh, yeah"
lyric,So how can I ever try to be better?
lyric,Nobody ever lets me in
lyric,And I can still see you
lyric,This ain't the best view
lyric,On the outside looking in
lyric,And I've been a lot of lonely places
lyric,I've never been on the outside
lyric,Seems the only one who doesn't see your beauty
lyric,Is the face in the mirror looking back at you
lyric,You walk around here thinking you're not pretty
lyric,But that's not true 'cause I know you
lyric,"Hold on, baby, you're losing it"
lyric,"The water's high, you're jumping into it"
lyric,And letting go
lyric,And no one knows
lyric,"That you cry, but you don't tell anyone"
lyric,That you might not be the golden one
lyric,And you're tied together with a smile
lyric,But you're coming undone
lyric,I guess it's true that love was all you wanted
lyric,Cause you're giving it away like it's extra change
lyric,Hoping it will end up in his pocket
lyric,But he leaves you out like a penny in the rain
lyric,"Oh, 'cause it's not his price to pay"
lyric,It's not his price to pay
lyric,"Hold on, baby, you're losing it"
lyric,"The water's high, you're jumping into it"
lyric,And letting go
lyric,And no one knows
lyric,"That you cry, but you don't tell anyone"
lyric,That you might not be the golden one
lyric,And you're tied together with a smile
lyric,But you're coming undone
lyric,"Hold on, baby, you're losing it"
lyric,"The water's high, you're jumping into it"
lyric,And letting go
lyric,And no one knows
lyric,"That you cry, but you don't tell anyone"
lyric,That you might not be the golden one
lyric,And you're tied together with a smile
lyric,But you're coming undone
lyric,You're tied together with a smile
lyric,But you're coming undone
lyric,"Goodbye, baby"
lyric,"With a smile, baby, baby"
lyric,Cory's eyes are like a jungle
lyric,"He smiles, it's like the radio"
lyric,He whispers songs into my window
lyric,In words that nobody knows
lyric,There's pretty girls on every corner
lyric,That watch him as he's walking home
lyric,"Saying, ""Does he know?"""
lyric,Will you ever know?
lyric,You're beautiful
lyric,Every little piece love
lyric,And don't you know
lyric,You're really gonna be someone
lyric,Ask anyone
lyric,And when you find everything you looked for
lyric,I hope your life leads you back to my door
lyric,"Oh, but if it don't"
lyric,Stay beautiful
lyric,Cory finds another way to be
lyric,The highlight of my day
lyric,I'm taking pictures in my mind
lyric,So I can save them for a rainy day
lyric,It's hard to make a conversation
lyric,When he's taking my breath away
lyric,"I should say, hey, by the way"
lyric,You're beautiful
lyric,Every little piece love
lyric,And don't you know
lyric,You're really gonna be someone
lyric,Ask anyone
lyric,And when you find everything you looked for
lyric,I hope your life leads you back to my door
lyric,"Oh, but if it don't"
lyric,Stay beautiful
lyric,If you and I are a story
lyric,That never gets told
lyric,If what you are is a daydream
lyric,I'll never get to hold
lyric,At least you'll know
lyric,You're beautiful
lyric,Every little piece love
lyric,And don't you know
lyric,You're really gonna be someone
lyric,Ask anyone
lyric,And when you find everything you looked for
lyric,I hope your life leads you back to my front door
lyric,"Oh, but if it don't"
lyric,Will you stay
lyric,"Beautiful, beautiful, beautiful"
lyric,"Beautiful, beautiful, beautiful?"
lyric,La la la
lyric,"Oh, oh, oh, oh"
lyric,"Oh, but if it don't"
lyric,Stay beautiful
lyric,Stay beautiful
lyric,"Na, na, na, na, na"
lyric,It's strange to think the songs we used to sing
lyric,"The smiles, the flowers, everything is gone"
lyric,Yesterday I found out about you
lyric,Even now just looking at you feels wrong
lyric,"You say that you'd take it all back, given one chance"
lyric,"It was a moment of weakness and you said, ""Yes."""
lyric,"You should've said ""No"", you should've gone home"
lyric,You should've thought twice 'fore you let it all go
lyric,You should've known that word
lyric,Bout what you did with her'd
lyric,Get back to me (get back to me).
lyric,And I should've been there in the back of your mind
lyric,"I shouldn't be asking myself, ""Why?"""
lyric,You shouldn't be begging for forgiveness at my feet...
lyric,"You should've said ""No"", baby, and you might still have me"
lyric,You can see that I've been crying
lyric,"And baby, you know all the right things to say"
lyric,But do you honestly expect me to believe
lyric,We could ever be the same?
lyric,"You say that the past is the past, you need one chance"
lyric,"It was a moment of weakness and you said, ""Yes."""
lyric,"You should've said ""No"", you should've gone home"
lyric,You should've thought twice 'fore you let it all go
lyric,You should've known that word
lyric,"Bout what you did with her'd,"
lyric,Get back to me (get back to me).
lyric,And I should've been there in the back of your mind
lyric,"I shouldn't be asking myself, ""Why?"""
lyric,You shouldn't be begging for forgiveness at my feet...
lyric,"You should've said ""No"", baby, and you might still have me"
lyric,I can't resist
lyric,"Before you go, tell me this:"
lyric,Was it worth it?
lyric,Was she worth this?
lyric,"No... no, no, no..."
lyric,"You should've said ""No"", you should've gone home"
lyric,You should've thought twice 'fore you let it all go
lyric,You should've known that word
lyric,"Bout what you did with her'd,"
lyric,Get back to me (get back to me).
lyric,And I should've been there in the back of your mind
lyric,"I shouldn't be asking myself, ""Why?"""
lyric,You shouldn't be begging for forgiveness at my feet...
lyric,"You should've said ""No"", baby, and you might still have me"
lyric,"She said, I was seven and you were nine"
lyric,I looked at you like the stars that shined
lyric,"In the sky, the pretty lights"
lyric,And our daddies used to joke about the two of us
lyric,Growing up and falling in love and our mamas smiled
lyric,"And rolled their eyes and said, ""Oh my, my, my"""
lyric,Take me back to the house in the backyard tree
lyric,"Said you'd beat me up, you were bigger than me"
lyric,"You never did, you never did"
lyric,Take me back when our world was one block wide
lyric,I dared you to kiss me and ran when you tried
lyric,"Just two kids, you and I"
lyric,"Oh my, my, my, my"
lyric,"Well, I was sixteen when suddenly"
lyric,I wasn't that little girl you used to see
lyric,But your eyes still shined like pretty lights
lyric,And our daddies used to joke about the two of us
lyric,They never believed we'd really fall in love
lyric,And our mamas smiled and rolled their eyes
lyric,"And said, ""Oh my, my, my"""
lyric,Take me back to the creek beds we turned up
lyric,"Two A.M. riding in your truck, and all I need is you next to me"
lyric,Take me back to the time we had our very first fight
lyric,The slamming of doors instead of kissing goodnight
lyric,You stayed outside 'til the morning light
lyric,"Oh my, my, my, my"
lyric,A few years had gone and come around
lyric,We were sitting at our favorite spot in town
lyric,"And you looked at me, got down on one knee"
lyric,Take me back to the time when we walked down the aisle
lyric,Our whole town came and our mamas cried
lyric,"You said ""I do"" and I did too"
lyric,Take me home where we met so many years before
lyric,We'll rock our babies on that very front porch
lyric,"After all this time, you and I"
lyric,I'll be eighty-seven; you'll be eighty-nine
lyric,I'll still look at you like the stars that shine
lyric,"In the sky, oh my, my, my"
lyric,I was ridin' shotgun with my hair undone
lyric,In the front seat of his car
lyric,He's got a one-hand feel on the steering wheel
lyric,The other on my heart
lyric,"I look around, turn the radio down"
lyric,"He says, ""Baby, is something wrong?"""
lyric,"I say, ""Nothin', I was just thinkin'"
lyric,"How we don't have a song"""
lyric,And he says
lyric,Our song is the slamming screen door
lyric,"Sneakin' out late, tapping on your window"
lyric,When we're on the phone and you talk real slow
lyric,Cause it's late and your mama don't know
lyric,Our song is the way you laugh
lyric,"The first date: ""Man, I didn't kiss her, and I should have"""
lyric,And when I got home 'fore I said amen
lyric,Asking God if he could play it again
lyric,I was walking up the front porch steps
lyric,After everything that day
lyric,Had gone all wrong or been trampled on
lyric,And lost and thrown away
lyric,"Got to the hallway, well on my way"
lyric,To my lovin' bed
lyric,I almost didn't notice all the roses
lyric,And the note that said
lyric,Our song is the slamming screen door
lyric,"Sneakin' out late, tapping on your window"
lyric,When we're on the phone and you talk real slow
lyric,Cause it's late and your mama don't know
lyric,Our song is the way you laugh
lyric,"The first date: ""Man, I didn't kiss her, and I should have"""
lyric,And when I got home 'fore I said amen
lyric,Asking God if he could play it again
lyric,Da-da-da-da
lyric,"I've heard every album, listened to the radio"
lyric,Waited for somethin' to come along
lyric,That was as good as our song
lyric,Cause our song is the slamming screen door
lyric,"Sneakin' out late, tappin' on his window"
lyric,When we're on the phone and he talks real slow
lyric,Cause it's late and his mama don't know
lyric,Our song is the way he laughs
lyric,"The first date: ""Man, I didn't kiss him, and I should have"""
lyric,And when I got home 'fore I said amen
lyric,Asking God if he could play it again
lyric,"Play it again, oh, yeah"
lyric,"Oh, oh, yeah"
lyric,I was ridin' shotgun with my hair undone
lyric,In the front seat of his car
lyric,I grabbed a pen and an old napkin
lyric,And I wrote down our song
lyric,Friday night beneath the stars
lyric,In a field behind your yard
lyric,You and I are painting pictures in the sky
lyric,And sometimes we don't say a thing
lyric,Just listen to the crickets sing
lyric,Everything I need is right here by my side
lyric,And I know everything about you
lyric,I don't wanna live without you
lyric,I'm only up when you're not down
lyric,Don't wanna fly if you're still on the ground
lyric,It's like no matter what I do
lyric,"Well, you drive me crazy half the time"
lyric,"The other half, I'm only tryna"
lyric,Let you know that what I feel is true
lyric,And I'm only me when I'm with you
lyric,Just a small-town boy and girl
lyric,Living in a crazy world
lyric,Tryna figure out what is and isn't true
lyric,And I don't try to hide my tears
lyric,My secrets or my deepest fears
lyric,Through it all nobody gets me like you do
lyric,And you know everything about me
lyric,You say that you can't live without me
lyric,I'm only up when you're not down
lyric,Don't wanna fly if you're still on the ground
lyric,It's like no matter what I do
lyric,"Well, you drive me crazy half the time"
lyric,"The other half, I'm only tryna"
lyric,Let you know that what I feel is true
lyric,And I'm only me when I'm with you
lyric,When I'm with anybody else
lyric,It's so hard to be myself
lyric,And only you can tell
lyric,That I'm only up when you're not down
lyric,Don't wanna fly if you're still on the ground
lyric,It's like no matter what I do
lyric,"Well, you drive me crazy half the time"
lyric,"The other half, I'm only tryna"
lyric,Let you know that what I feel is true
lyric,"And I'm only me, who I wanna be"
lyric,"Well, I'm only me when I'm with you"
lyric,With you
lyric,"Uh-huh, yeah"
