intent,text
lyric,"He said the way my blue eyes shined Put those Georgia stars to shame that night I said, ""That's a lie"""
lyric,Just a boy in a Chevy truck That had a tendency of gettin' stuck On back roads at night
lyric,And I was right there beside him all summer long And then the time we woke up to find that summer gone But when you think Tim McGraw
lyric,I hope you think my favorite song The one we danced to all night long The moon like a spotlight on the lake
lyric,When you think happiness I hope you think that little black dress Think of my head on your chest
lyric,And my old faded blue jeans When you think Tim McGraw I hope you think of me
lyric,September saw a month of tears And thankin' God that you weren't here To see me like that
lyric,But in a box beneath my bed Is a letter that you never read From three summers back
lyric,"It's hard not to find it all a little bittersweet And lookin' back on all of that, it's nice to believe When you think Tim McGraw"
lyric,I hope you think my favorite song The one we danced to all night long The moon like a spotlight on the lake
lyric,When you think happiness I hope you think that little black dress Think of my head on your chest
lyric,And my old faded blue jeans When you think Tim McGraw I hope you think of me
lyric,And I'm back for the first time since then I'm standin' on your street And there's a letter left on your doorstep
lyric,"And the first thing that you'll read is: When you think Tim McGraw
I hope you think my favorite song
Someday you'll turn your radio on
I hope it takes you back to that place When you think happiness"
lyric,I hope you think that little black dress Think of my head on your chest And my old faded blue jeans
lyric,"When you think Tim McGraw I hope you think of me Oh, think of me"
lyric,Mmmm He said the way my blue eyes shined Put those Georgia stars to shame that night
lyric,"I said, ""That's a lie"" State the obvious, I didn't get my perfect fantasy I realize you love yourself more than you could ever love me"
lyric,So go and tell your friends that I'm obsessive and crazy That's fine I'll tell mine that you're gay! By the way...
lyric,I hate that stupid old pickup truck You never let me drive You're a redneck heartbreak
lyric,Who's really bad at lying So watch me strike a match On all my wasted time
lyric,As far as I'm concerned You're just another picture to burn! There's no time for tears
lyric,I'm just sitting here planning my revenge There's nothing stopping me From going out with all of your best friends
lyric,And if you come around saying sorry to me My daddy's gonna show you how sorry you'll be Cause I hate that stupid old pickup truck
lyric,You never let me drive You're a redneck heartbreak Who's really bad at lying
lyric,So watch me strike a match On all my wasted time As far as I'm concerned
lyric,You're just another picture to burn! And if you're missing me You'd better keep it to yourself
lyric,Cause coming back around here Would be bad for your health... Cause I hate that stupid old pickup truck
lyric,You never let me drive You're a redneck heartbreak Who's really bad at lying
lyric,So watch me strike a match On all my wasted time In case you haven't heard
lyric,I really really hate that... Stupid old pickup truck You never let me drive
lyric,You're a redneck heartbreak Who's really bad at lying So watch me strike a match
lyric,On all my wasted time As far as I'm concerned You're just another picture to burn!
lyric,"Burn, burn, burn, baby, burn You're just another picture to burn Baby, burn..."
lyric,Drew looks at me I fake a smile so he won't see That I want and I'm needing
lyric,"Everything that we should be I'll bet she's beautiful, that girl he talks about And she's got everything that I have to live without"
lyric,Drew talks to me I laugh 'cause it's just so funny That I can't even see
lyric,"Anyone when he's with me He says he's so in love, he's finally got it right I wonder if he knows he's all I think about at night"
lyric,He's the reason for the teardrops on my guitar The only thing that keeps me wishing on a wishing star He's the song in the car I keep singing. Don't know why I do
lyric,"Drew walks by me Can he tell that I can't breathe? And there he goes, so perfectly"
lyric,"The kind of flawless I wish I could be She'd better hold him tight, give him all her love Look in those beautiful eyes and know she's lucky 'cause"
lyric,He's the reason for the teardrops on my guitar The only thing that keeps me wishing on a wishing star He's the song in the car I keep singing. Don't know why I do
lyric,"So, I drive home alone As I turn out the light I'll put his picture down"
lyric,And maybe get some sleep tonight Cause he's the reason for the teardrops on my guitar The only one who's got enough of me to break my heart
lyric,"He's the song in the car I keep singing. Don't know why I do He's the time taken up, but there's never enough And he's all that I need to fall into"
lyric,"Drew looks at me I fake a smile so he won't see I don't know what I want, so don't ask me"
lyric,"Cause I'm still trying to figure it out Don't know what's down this road, I'm just walking Trying to see through the rain coming down"
lyric,"Even though I'm not the only one Who feels the way I do I'm alone, on my own, and that's all I know"
lyric,"I'll be strong, I'll be wrong, oh but life goes on Oh, I'm just a girl, trying to find a place in this world Got the radio on, my old blue jeans"
lyric,"And I'm wearing my heart on my sleeve Feeling lucky today, got the sunshine Could you tell me what more do I need"
lyric,"And tomorrow's just a mystery, oh yeah But that's OK I'm alone, on my own, and that's all I know"
lyric,"I'll be strong, I'll be wrong, oh but life goes on Oh, I'm just a girl, trying to find a place in this world Maybe I'm just a girl on a mission"
lyric,"But I'm ready to fly I'm alone, on my own, and that's all I know I'll be strong, I'll be wrong, oh but life goes on"
lyric,"Oh I'm alone, on my own, and that's all I know Oh I'm just a girl, trying to find a place in this world Oh I'm just a girl"
lyric,"Oh I'm just a girl, oh, oh Oh I'm just a girl You have a way of coming easily to me"
lyric,"And when you take, you take the very best of me So I start a fight 'cause I need to feel something And you do what you want 'cause I'm not what you wanted"
lyric,"Oh, what a shame, what a rainy ending given to a perfect day Just walk away, ain't no use defending words that you will never say And now that I'm sitting here thinking it through"
lyric,I've never been anywhere cold as you You put up walls and paint them all a shade of gray And I stood there loving you and wished them all away
lyric,"And you come away with a great little story Of a mess of a dreamer with the nerve to adore you Oh, what a shame, what a rainy ending given to a perfect day"
lyric,"So just walk away, ain't no use defending words that you will never say And now that I'm sitting here thinking it through I've never been anywhere cold as you"
lyric,"You never did give a damn thing, honey, but I cried, cried for you And I know you wouldn't have told nobody if I died, died for you, died for you Oh, what a shame, what a rainy ending given to a perfect day"
lyric,Every smile you fake is so condescending counting all the scars you made And now that I'm sitting here thinking it through I've never been anywhere cold as you
lyric,I didn't know what I would find When I went looking for a reason I know I didn't read between the lines
lyric,"And, baby, I've got nowhere to go I tried to take the road less traveled by But nothing seems to work the first few times"
lyric,Am I right? So how can I ever try to be better? Nobody ever lets me in
lyric,I can still see you This ain't the best view On the outside looking in
lyric,"And I've been a lot of lonely places I've never been on the outside You saw me there, but never knew"
lyric,"That I would give it all up to be A part of this, a part of you And now it's all too late. So you see"
lyric,You could've helped if you had wanted to But no one notices until it's too late to do anything So how can I ever try to be better?
lyric,Nobody ever lets me in I can still see you This ain't the best view
lyric,On the outside looking in And I've been a lot of lonely places I've never been on the outside
lyric,"Oh, yeah So how can I ever try to be better? Nobody ever lets me in"
lyric,And I can still see you This ain't the best view On the outside looking in
lyric,And I've been a lot of lonely places I've never been on the outside Seems the only one who doesn't see your beauty
lyric,Is the face in the mirror looking back at you You walk around here thinking you're not pretty But that's not true 'cause I know you
lyric,"Hold on, baby, you're losing it The water's high, you're jumping into it And letting go"
lyric,"And no one knows That you cry, but you don't tell anyone That you might not be the golden one"
lyric,And you're tied together with a smile But you're coming undone I guess it's true that love was all you wanted
lyric,Cause you're giving it away like it's extra change Hoping it will end up in his pocket But he leaves you out like a penny in the rain
lyric,"Oh, 'cause it's not his price to pay It's not his price to pay Hold on, baby, you're losing it"
lyric,"The water's high, you're jumping into it And letting go And no one knows"
lyric,"That you cry, but you don't tell anyone That you might not be the golden one And you're tied together with a smile"
lyric,"But you're coming undone Hold on, baby, you're losing it The water's high, you're jumping into it"
lyric,"And letting go And no one knows That you cry, but you don't tell anyone"
lyric,That you might not be the golden one And you're tied together with a smile But you're coming undone
lyric,"You're tied together with a smile But you're coming undone Goodbye, baby"
lyric,"With a smile, baby, baby Cory's eyes are like a jungle He smiles, it's like the radio"
lyric,He whispers songs into my window In words that nobody knows There's pretty girls on every corner
lyric,"That watch him as he's walking home Saying, ""Does he know?"" Will you ever know?"
lyric,You're beautiful Every little piece love And don't you know
lyric,You're really gonna be someone Ask anyone And when you find everything you looked for
lyric,"I hope your life leads you back to my door Oh, but if it don't Stay beautiful"
lyric,Cory finds another way to be The highlight of my day I'm taking pictures in my mind
lyric,So I can save them for a rainy day It's hard to make a conversation When he's taking my breath away
lyric,"I should say, hey, by the way You're beautiful Every little piece love"
lyric,And don't you know You're really gonna be someone Ask anyone
lyric,"And when you find everything you looked for I hope your life leads you back to my door Oh, but if it don't"
lyric,Stay beautiful If you and I are a story That never gets told
lyric,If what you are is a daydream I'll never get to hold At least you'll know
lyric,You're beautiful Every little piece love And don't you know
lyric,You're really gonna be someone Ask anyone And when you find everything you looked for
lyric,"I hope your life leads you back to my front door Oh, but if it don't Will you stay"
lyric,"Beautiful, beautiful, beautiful Beautiful, beautiful, beautiful? La la la"
lyric,"Oh, oh, oh, oh Oh, but if it don't Stay beautiful"
lyric,"Stay beautiful Na, na, na, na, na It's strange to think the songs we used to sing"
lyric,"The smiles, the flowers, everything is gone Yesterday I found out about you Even now just looking at you feels wrong"
lyric,"You say that you'd take it all back, given one chance It was a moment of weakness and you said, ""Yes."" You should've said ""No"", you should've gone home"
lyric,You should've thought twice 'fore you let it all go You should've known that word Bout what you did with her'd
lyric,"Get back to me (get back to me). And I should've been there in the back of your mind I shouldn't be asking myself, ""Why?"""
lyric,"You shouldn't be begging for forgiveness at my feet... You should've said ""No"", baby, and you might still have me You can see that I've been crying"
lyric,"And baby, you know all the right things to say But do you honestly expect me to believe We could ever be the same?"
lyric,"You say that the past is the past, you need one chance It was a moment of weakness and you said, ""Yes."" You should've said ""No"", you should've gone home"
lyric,"You should've thought twice 'fore you let it all go You should've known that word Bout what you did with her'd,"
lyric,"Get back to me (get back to me). And I should've been there in the back of your mind I shouldn't be asking myself, ""Why?"""
lyric,"You shouldn't be begging for forgiveness at my feet... You should've said ""No"", baby, and you might still have me I can't resist"
lyric,"Before you go, tell me this: Was it worth it? Was she worth this?"
lyric,"No... no, no, no... You should've said ""No"", you should've gone home You should've thought twice 'fore you let it all go"
lyric,"You should've known that word Bout what you did with her'd, Get back to me (get back to me)."
lyric,"And I should've been there in the back of your mind I shouldn't be asking myself, ""Why?"" You shouldn't be begging for forgiveness at my feet..."
lyric,"You should've said ""No"", baby, and you might still have me She said, I was seven and you were nine I looked at you like the stars that shined"
lyric,"In the sky, the pretty lights And our daddies used to joke about the two of us Growing up and falling in love and our mamas smiled"
lyric,"And rolled their eyes and said, ""Oh my, my, my"" Take me back to the house in the backyard tree Said you'd beat me up, you were bigger than me"
lyric,"You never did, you never did Take me back when our world was one block wide I dared you to kiss me and ran when you tried"
lyric,"Just two kids, you and I Oh my, my, my, my Well, I was sixteen when suddenly"
